"Показатель","ДЭБ","ДИБ","ДАФ","ДБПиО","Москва","Белгородская область","Брянская область","Владимирская область","Воронежская область","Ивановская область","Калужская область","Костромская область","Курская область","Липецкая область","Орловская область","Рязанская область","Смоленская область","Тамбовская область","Тверская область","Тульская область","Ярославская область","Санкт-Петербург","Вологодская область","Калининградская область","Мурманская область","Новгородская область","Псковская область","Республика Карелия","Республика Коми","Архангельская область","Кировская область","Оренбургская область","Самарская область","Саратовская область","Нижегородская область","Пензенская область","Пермский край","Республика Башкортостан","Республика Марий Эл","Республика Мордовия","Республика Татарстан","Удмуртская Республика","Ульяновская область","Чувашская Республика","Краснодар","Сочи","Новороссийск","Ростов","Ставрополь","Волгоград","Астрахань","Алания","Ингушетия","КБР","КЧР","Дагестан","Чечня","Свердловская область","ХМАО-Югра","Челябинская область","Тюменская область","Курган","ЯНАО","Новосибирская область","Омская область","Томская область","Алтайский край","Республика Алтай","Красноярский край","Кемеровская область","Республика Хакасия","Республика Тыва","Иркутская область","Хабаровский край","Приморский край","Амурская область","Магаданская область","Республика Саха (Якутия)","Камчатский край","Сахалинская область","Забайкальский край","Республика Бурятия","Итого ПАО МТС"
"Проведено проверок на соответствие нормативным документам (кол-во)",35,79,26,70,17,61,8,52,96,43,87,34,78,25,69,16,60,7,51,95,42,86,33,77,24,68,15,59,6,50,94,41,85,32,76,23,67,14,58,5,49,93,40,84,31,75,22,66,13,57,4,48,92,39,83,30,74,21,65,12,56,3,47,91,38,82,29,73,20,64,11,55,2,46,90,37,81,28,72,19,63,10,3979
"Повышение осведомленности в области ИБ сотрудников компании",38,83,31,76,24,69,17,62,10,55,3,48,93,41,86,34,79,27,72,20,65,13,58,6,51,96,44,89,37,82,30,75,23,68,16,61,9,54,2,47,92,40,85,33,78,26,71,19,64,12,57,5,50,95,43,88,36,81,29,74,22,67,15,60,8,53,1,46,91,39,84,32,77,25,70,18,63,11,56,4,49,94,3957
"Контроль доступа к ИС и действий привилегированных пользователей",41,87,36,82,31,77,26,72,21,67,16,62,11,57,6,52,1,47,93,42,88,37,83,32,78,27,73,22,68,17,63,12,58,7,53,2,48,94,43,89,38,84,33,79,28,74,23,69,18,64,13,59,8,54,3,49,95,44,90,39,85,34,80,29,75,24,70,19,65,14,60,9,55,4,50,96,45,91,40,86,35,81,4032
"Рассмотрено заявок на предоставление доступа к ИС (кол-во)",44,91,41,88,38,85,35,82,32,79,29,76,26,73,23,70,20,67,17,64,14,61,11,58,8,55,5,52,2,49,96,46,93,43,90,40,87,37,84,34,81,31,78,28,75,25,72,22,69,19,66,16,63,13,60,10,57,7,54,4,51,1,48,95,45,92,42,89,39,86,36,83,33,80,30,77,27,74,24,71,21,68,4107
"Зафиксировано нарушений предоставления доступа к ИС (кол-во)",47,95,46,94,45,93,44,92,43,91,42,90,41,89,40,88,39,87,38,86,37,85,36,84,35,83,34,82,33,81,32,80,31,79,30,78,29,77,28,76,27,75,26,74,25,73,24,72,23,71,22,70,21,69,20,68,19,67,18,66,17,65,16,64,15,63,14,62,13,61,12,60,11,59,10,58,9,57,8,56,7,55,4182
"Проведено аудитов учетных записей (кол-во)",50,2,51,3,52,4,53,5,54,6,55,7,56,8,57,9,58,10,59,11,60,12,61,13,62,14,63,15,64,16,65,17,66,18,67,19,68,20,69,21,70,22,71,23,72,24,73,25,74,26,75,27,76,28,77,29,78,30,79,31,80,32,81,33,82,34,83,35,84,36,85,37,86,38,87,39,88,40,89,41,90,42,3772
"Выявлено нарушений (кол-во)",53,6,56,9,59,12,62,15,65,18,68,21,71,24,74,27,77,30,80,33,83,36,86,39,89,42,92,45,95,48,1,51,4,54,7,57,10,60,13,63,16,66,19,69,22,72,25,75,28,78,31,81,34,84,37,87,40,90,43,93,46,96,49,2,52,5,55,8,58,11,61,14,64,17,67,20,70,23,73,26,76,29,3847
"Обработано инцидентов ИБ (кол-во), из них",56,10,61,15,66,20,71,25,76,30,81,35,86,40,91,45,96,50,4,55,9,60,14,65,19,70,24,75,29,80,34,85,39,90,44,95,49,3,54,8,59,13,64,18,69,23,74,28,79,33,84,38,89,43,94,48,2,53,7,58,12,63,17,68,22,73,27,78,32,83,37,88,42,93,47,1,52,6,57,11,62,16,3922
"инцидентов, связанных с нарушением процедур предоставления административных прав (кол-во)",59,14,66,21,73,28,80,35,87,42,94,49,4,56,11,63,18,70,25,77,32,84,39,91,46,1,53,8,60,15,67,22,74,29,81,36,88,43,95,50,5,57,12,64,19,71,26,78,33,85,40,92,47,2,54,9,61,16,68,23,75,30,82,37,89,44,96,51,6,58,13,65,20,72,27,79,34,86,41,93,48,3,3997
"инцидентов по подозрению в нелегитимном доступе в КСПД (кол-во)",62,18,71,27,80,36,89,45,1,54,10,63,19,72,28,81,37,90,46,2,55,11,64,20,73,29,82,38,91,47,3,56,12,65,21,74,30,83,39,92,48,4,57,13,66,22,75,31,84,40,93,49,5,58,14,67,23,76,32,85,41,94,50,6,59,15,68,24,77,33,86,42,95,51,7,60,16,69,25,78,34,87,3975
"инцидентов по подозрению внутренней спам-активности (кол-во)",65,22,76,33,87,44,1,55,12,66,23,77,34,88,45,2,56,13,67,24,78,35,89,46,3,57,14,68,25,79,36,90,47,4,58,15,69,26,80,37,91,48,5,59,16,70,27,81,38,92,49,6,60,17,71,28,82,39,93,50,7,61,18,72,29,83,40,94,51,8,62,19,73,30,84,41,95,52,9,63,20,74,3953
"инцидентов, связанных с вирусной активностью (кол-во)",68,26,81,39,94,52,10,65,23,78,36,91,49,7,62,20,75,33,88,46,4,59,17,72,30,85,43,1,56,14,69,27,82,40,95,53,11,66,24,79,37,92,50,8,63,21,76,34,89,47,5,60,18,73,31,86,44,2,57,15,70,28,83,41,96,54,12,67,25,80,38,93,51,9,64,22,77,35,90,48,6,61,4028
"инцидентов, связанных с выявлением некорпоративного, нелицензионного, вредоносного ПО (кол-во)",71,30,86,45,4,60,19,75,34,90,49,8,64,23,79,38,94,53,12,68,27,83,42,1,57,16,72,31,87,46,5,61,20,76,35,91,50,9,65,24,80,39,95,54,13,69,28,84,43,2,58,17,73,32,88,47,6,62,21,77,36,92,51,10,66,25,81,40,96,55,14,70,29,85,44,3,59,18,74,33,89,48,4006
"инцидентов, связанных с нарушениями порядка обработки КИ и ПДн (кол-во)",74,34,91,51,11,68,28,85,45,5,62,22,79,39,96,56,16,73,33,90,50,10,67,27,84,44,4,61,21,78,38,95,55,15,72,32,89,49,9,66,26,83,43,3,60,20,77,37,94,54,14,71,31,88,48,8,65,25,82,42,2,59,19,76,36,93,53,13,70,30,87,47,7,64,24,81,41,1,58,18,75,35,3984
"инцидентов по подозрению в сетевых атаках (кол-во)",77,38,96,57,18,76,37,95,56,17,75,36,94,55,16,74,35,93,54,15,73,34,92,53,14,72,33,91,52,13,71,32,90,51,12,70,31,89,50,11,69,30,88,49,10,68,29,87,48,9,67,28,86,47,8,66,27,85,46,7,65,26,84,45,6,64,25,83,44,5,63,24,82,43,4,62,23,81,42,3,61,22,4059
"выявлено утечек КИ или информации, составляющей КТ (кол-во)",80,42,4,63,25,84,46,8,67,29,88,50,12,71,33,92,54,16,75,37,96,58,20,79,41,3,62,24,83,45,7,66,28,87,49,11,70,32,91,53,15,74,36,95,57,19,78,40,2,61,23,82,44,6,65,27,86,48,10,69,31,90,52,14,73,35,94,56,18,77,39,1,60,22,81,43,5,64,26,85,47,9,3940
"в рамках мониторинга инцидентов ИБ заблокировано (кол-во)",83,46,9,69,32,92,55,18,78,41,4,64,27,87,50,13,73,36,96,59,22,82,45,8,68,31,91,54,17,77,40,3,63,26,86,49,12,72,35,95,58,21,81,44,7,67,30,90,53,16,76,39,2,62,25,85,48,11,71,34,94,57,20,80,43,6,66,29,89,52,15,75,38,1,61,24,84,47,10,70,33,93,4015
"другие инциденты ИБ (кол-во)",86,50,14,75,39,3,64,28,89,53,17,78,42,6,67,31,92,56,20,81,45,9,70,34,95,59,23,84,48,12,73,37,1,62,26,87,51,15,76,40,4,65,29,90,54,18,79,43,7,68,32,93,57,21,82,46,10,71,35,96,60,24,85,49,13,74,38,2,63,27,88,52,16,77,41,5,66,30,91,55,19,80,3993
"Выявлено инцидентов фрода, находящихся в зоне ответственности ИБ (кол-во)",89,54,19,81,46,11,73,38,3,65,30,92,57,22,84,49,14,76,41,6,68,33,95,60,25,87,52,17,79,44,9,71,36,1,63,28,90,55,20,82,47,12,74,39,4,66,31,93,58,23,85,50,15,77,42,7,69,34,96,61,26,88,53,18,80,45,10,72,37,2,64,29,91,56,21,83,48,13,75,40,5,67,3971
"Обработано документов в рамках участия в составах проектных рабочих групп компании (кол-во)",92,58,24,87,53,19,82,48,14,77,43,9,72,38,4,67,33,96,62,28,91,57,23,86,52,18,81,47,13,76,42,8,71,37,3,66,32,95,61,27,90,56,22,85,51,17,80,46,12,75,41,7,70,36,2,65,31,94,60,26,89,55,21,84,50,16,79,45,11,74,40,6,69,35,1,64,30,93,59,25,88,54,4046
